model,factors,seed,samples,features,fit_observed_cells,holdout_cells,observed_cells,holdout_fraction_realized,q_train,q_train_per_cell,q_heldout,q_heldout_per_cell,q_all_observed,q_all_observed_per_cell,objective,iterations,converged,fit_seconds,profile_variability_mean,profile_variability_max,active_variability_factor_count,effective_rank_mean,effective_rank_active_factor_count,high_geometric_confounding_factor_count,moderate_geometric_confounding_factor_count,pairwise_cosine_mean,pairwise_cosine_max,pairwise_cosine_min,difference_span_rank,difference_condition_number,difference_min_relative_singular_value
lowrank_v2,7,17,8671,32,205786,22901,228687,0.1001412410849764,175522.520738447,0.8529371324504437,1486067.8945330693,64.89096085468186,1661590.415271516,7.265784304623857,175522.520738447,15,False,30.613882625009865,0.0,0.0,0,0.0,0,3,1,0.70030378886571,0.9902139304128463,0.3897244124130592,6.0,19.086369918773446,0.05239340976077359
lowrank_v2,7,23,8671,32,205786,22901,228687,0.1001412410849764,184985.18024283537,0.8989201415200031,607155.1664863816,26.51216831083278,792140.3467292169,3.4638626014124845,184985.18024283537,15,False,30.62006508302875,0.0,0.0,0,0.0,0,2,1,0.6554390688670003,0.992581566212011,0.35198863451402496,6.0,21.30258468719213,0.04694266046510476
lowrank_v2,7,31,8671,32,205786,22901,228687,0.1001412410849764,175701.54170997627,0.8538070700143657,237504.77000198013,10.370934457097075,413206.3117119564,1.806864018120647,175701.54170997627,15,False,30.69767929194495,0.0,0.0,0,0.0,0,3,1,0.7295675964451128,0.9906560125830304,0.4031291699537769,6.0,17.1403660736614,0.058341811120162804
lowrank_v2,7,41,8671,32,205786,22901,228687,0.1001412410849764,187570.17230680573,0.9114816960668157,597001.8525183395,26.06881151558183,784572.0248251453,3.430767926577135,187570.17230680573,15,False,30.580411292030476,0.0,0.0,0,0.0,0,2,1,0.5184091393773747,0.9917093963166584,0.03277450858261727,6.0,68.1066153133767,0.014682861501760633
lowrank_v2,7,53,8671,32,205786,22901,228687,0.1001412410849764,161396.3038081264,0.784291952844831,340144.9972924037,14.852844735706027,501541.30110053014,2.19313428879005,161396.3038081264,15,False,30.543433125014417,0.0,0.0,0,0.0,0,5,0,0.7627872721836979,0.9928414291283125,0.41406170060385655,6.0,17.95178158205888,0.05570477756923057
lowrank_v2,7,67,8671,32,205786,22901,228687,0.1001412410849764,167747.176580637,0.8151534923689512,289401.8668667568,12.63708426997759,457149.0434473938,1.9990163124593607,167747.176580637,15,False,30.60811533301603,0.0,0.0,0,0.0,0,3,1,0.6208685810437868,0.994614044151701,0.18973979367031005,6.0,20.94155525739859,0.04775194524517003
lowrank_v2,7,79,8671,32,205786,22901,228687,0.1001412410849764,172109.4039905949,0.8363513746833842,877778.8341630236,38.32927968922858,1049888.2381536188,4.590939748011993,172109.4039905949,15,False,30.359908125014044,0.0,0.0,0,0.0,0,3,0,0.6978215701707233,0.9910870870503605,0.39129238155968754,6.0,22.828626023608457,0.0438046511851322
lowrank_v2,7,97,8671,32,205786,22901,228687,0.1001412410849764,162177.86977837316,0.788089907857547,454432.7619906904,19.84335889221826,616610.6317690636,2.696308193159487,162177.86977837316,15,False,30.387776583083905,0.0,0.0,0,0.0,0,3,2,0.6802596976995344,0.9881911367258044,0.35023891493103865,6.0,27.268948902453317,0.03667174717944602
lowrank_v2,7,113,8671,32,205786,22901,228687,0.1001412410849764,164571.50862723973,0.7997215973255699,358155.80378054315,15.639308492229297,522727.3124077828,2.2857762461695805,164571.50862723973,15,False,30.457066458067857,0.0,0.0,0,0.0,0,3,2,0.6793551295876126,0.9906687647452309,0.29765513267102806,6.0,41.49309024878067,0.024100398259186934
lowrank_v2,8,11,8671,32,205786,22901,228687,0.1001412410849764,138423.2482144186,0.6726562944729894,469771.0517335793,20.513123956752075,608194.299947998,2.659505349879958,138423.2482144186,15,False,31.924847792019136,0.0,0.0,0,0.0,0,2,2,0.6194080516988247,0.9987664852521088,0.21346591882480134,7.0,198.14298720368944,0.005046860421923527
