model,factors,seed,factor,factor_label,effective_rank,profile_rms_variability,latent_tau,span_alignment,unique_direction_fraction,max_cosine_to_other_archetype,diagnostic_label,pairwise_cosine_mean,pairwise_cosine_max,pairwise_cosine_min,difference_span_rank,difference_condition_number,difference_min_relative_singular_value
lowrank_v2,8,23,3,factor_4,0,0.0,0.0,,,0.5446460806107216,static_or_no_active_family,0.6607044633600683,0.9895930094501406,0.3298985526631885,7.0,41.93652464406295,0.023845562036614122
lowrank_v2,8,23,4,factor_5,0,0.0,0.0,,,0.9257557140677829,moderate_geometric_confounding,0.6607044633600683,0.9895930094501406,0.3298985526631885,7.0,41.93652464406295,0.023845562036614122
lowrank_v2,8,23,5,factor_6,0,0.0,0.0,,,0.974699775230848,high_geometric_confounding,0.6607044633600683,0.9895930094501406,0.3298985526631885,7.0,41.93652464406295,0.023845562036614122
lowrank_v2,8,23,6,factor_7,0,0.0,0.0,,,0.8643267374496303,static_or_no_active_family,0.6607044633600683,0.9895930094501406,0.3298985526631885,7.0,41.93652464406295,0.023845562036614122
lowrank_v2,8,23,7,factor_8,0,0.0,0.0,,,0.9362940706782648,moderate_geometric_confounding,0.6607044633600683,0.9895930094501406,0.3298985526631885,7.0,41.93652464406295,0.023845562036614122
lowrank_v2,8,31,0,factor_1,0,0.0,0.0,,,0.9023069103162439,moderate_geometric_confounding,0.7104342232974538,0.990808209577578,0.46022156455631424,7.0,31.6589395393286,0.03158665497174159
lowrank_v2,8,31,1,factor_2,0,0.0,0.0,,,0.990808209577578,high_geometric_confounding,0.7104342232974538,0.990808209577578,0.46022156455631424,7.0,31.6589395393286,0.03158665497174159
lowrank_v2,8,31,2,factor_3,0,0.0,0.0,,,0.9892564675367297,high_geometric_confounding,0.7104342232974538,0.990808209577578,0.46022156455631424,7.0,31.6589395393286,0.03158665497174159
lowrank_v2,8,31,3,factor_4,0,0.0,0.0,,,0.9069561064263421,moderate_geometric_confounding,0.7104342232974538,0.990808209577578,0.46022156455631424,7.0,31.6589395393286,0.03158665497174159
lowrank_v2,8,31,4,factor_5,0,0.0,0.0,,,0.5938636230381562,static_or_no_active_family,0.7104342232974538,0.990808209577578,0.46022156455631424,7.0,31.6589395393286,0.03158665497174159
lowrank_v2,8,31,5,factor_6,0,0.0,0.0,,,0.990808209577578,high_geometric_confounding,0.7104342232974538,0.990808209577578,0.46022156455631424,7.0,31.6589395393286,0.03158665497174159
lowrank_v2,8,31,6,factor_7,0,0.0,0.0,,,0.9069561064263421,moderate_geometric_confounding,0.7104342232974538,0.990808209577578,0.46022156455631424,7.0,31.6589395393286,0.03158665497174159
lowrank_v2,8,31,7,factor_8,0,0.0,0.0,,,0.8850856299900998,static_or_no_active_family,0.7104342232974538,0.990808209577578,0.46022156455631424,7.0,31.6589395393286,0.03158665497174159
lowrank_v2,8,41,0,factor_1,0,0.0,0.0,,,0.9153150366144878,moderate_geometric_confounding,0.5429820662286212,0.9919857229158189,0.03804574348654017,7.0,72.59195048326359,0.013775632054831682
lowrank_v2,8,41,1,factor_2,0,0.0,0.0,,,0.9919857229158189,high_geometric_confounding,0.5429820662286212,0.9919857229158189,0.03804574348654017,7.0,72.59195048326359,0.013775632054831682
lowrank_v2,8,41,2,factor_3,0,0.0,0.0,,,0.7723949684234996,static_or_no_active_family,0.5429820662286212,0.9919857229158189,0.03804574348654017,7.0,72.59195048326359,0.013775632054831682
lowrank_v2,8,41,3,factor_4,0,0.0,0.0,,,0.9919857229158189,high_geometric_confounding,0.5429820662286212,0.9919857229158189,0.03804574348654017,7.0,72.59195048326359,0.013775632054831682
lowrank_v2,8,41,4,factor_5,0,0.0,0.0,,,0.7640489087575612,static_or_no_active_family,0.5429820662286212,0.9919857229158189,0.03804574348654017,7.0,72.59195048326359,0.013775632054831682
lowrank_v2,8,41,5,factor_6,0,0.0,0.0,,,0.7640489087575612,static_or_no_active_family,0.5429820662286212,0.9919857229158189,0.03804574348654017,7.0,72.59195048326359,0.013775632054831682
lowrank_v2,8,41,6,factor_7,0,0.0,0.0,,,0.8329388484357523,static_or_no_active_family,0.5429820662286212,0.9919857229158189,0.03804574348654017,7.0,72.59195048326359,0.013775632054831682
lowrank_v2,8,41,7,factor_8,0,0.0,0.0,,,0.9909607350801408,high_geometric_confounding,0.5429820662286212,0.9919857229158189,0.03804574348654017,7.0,72.59195048326359,0.013775632054831682
