model,factors,seed,is_reference,q_true,objective,archetype_cosine_to_reference,contribution_correlation_to_reference,variability_abs_diff_to_reference,effective_rank_match_fraction
lowrank_v2,6,31,False,220073.1584501972,220073.1584501972,0.9512837201971669,0.5678894348503546,0.0,1.0
lowrank_v2,6,41,False,200001.77894354073,200001.77894354073,0.9616127405921803,0.519224303971009,0.0,1.0
lowrank_v2,6,53,False,190466.56777742453,190466.56777742453,0.9804662456226264,0.7464863930452874,0.0,1.0
lowrank_v2,6,67,False,207806.405086993,207806.405086993,0.9734734652447563,0.5025936601444031,0.0,1.0
lowrank_v2,6,79,False,201008.99976779107,201008.99976779107,0.9749468252400583,0.6473309187654932,0.0,1.0
lowrank_v2,6,97,False,210601.88610289028,210601.88610289028,0.9471438350524798,0.4869414249611233,0.0,1.0
lowrank_v2,6,113,True,187154.03348747123,187154.03348747123,1.0,1.0,0.0,1.0
lowrank_v2,7,11,False,172136.32776748989,172136.32776748989,0.9826706964360181,0.6962527885639744,0.0,1.0
lowrank_v2,7,17,False,175522.520738447,175522.520738447,0.911092633489471,0.5736458810126293,0.0,1.0
lowrank_v2,7,23,False,184985.18024283537,184985.18024283537,0.930974035526185,0.3784074698541046,0.0,1.0
lowrank_v2,7,31,False,175701.54170997627,175701.54170997627,0.9670871264827061,0.7057052683153449,0.0,1.0
lowrank_v2,7,41,False,187570.17230680573,187570.17230680573,0.8592023278113544,0.415537271034486,0.0,1.0
lowrank_v2,7,53,True,161396.3038081264,161396.3038081264,0.9999999999999999,1.0,0.0,1.0
lowrank_v2,7,67,False,167747.176580637,167747.176580637,0.937094683332185,0.6122344291129138,0.0,1.0
lowrank_v2,7,79,False,172109.4039905949,172109.4039905949,0.9573895298530858,0.5658883204795189,0.0,1.0
lowrank_v2,7,97,False,162177.86977837316,162177.86977837316,0.9641715461528024,0.7262905024141185,0.0,1.0
lowrank_v2,7,113,False,164571.50862723973,164571.50862723973,0.969221515734484,0.8028623700796721,0.0,1.0
lowrank_v2,8,11,False,138423.2482144186,138423.2482144186,0.9222628737206835,0.701999726651475,0.0,1.0
lowrank_v2,8,17,False,143795.91549470724,143795.91549470724,0.9344679298808469,0.6317430777026807,0.0,1.0
lowrank_v2,8,23,False,148053.39505599934,148053.39505599934,0.9567149183366029,0.6568938534342681,0.0,1.0
lowrank_v2,8,31,False,154987.47709310317,154987.47709310317,0.9365290399637014,0.5689319696658299,0.0,1.0
lowrank_v2,8,41,False,152426.35658516065,152426.35658516065,0.9266623627103798,0.5762159849967159,0.0,1.0
lowrank_v2,8,53,False,139556.4720376388,139556.4720376388,0.9366796666305346,0.6581489654694448,0.0,1.0
lowrank_v2,8,67,False,156057.04785559382,156057.04785559382,0.9076489104633656,0.4093155361867098,0.0,1.0
lowrank_v2,8,79,False,150690.41577793314,150690.41577793314,0.9327852483488246,0.4853162065133033,0.0,1.0
lowrank_v2,8,97,True,136733.82600526273,136733.82600526273,1.0,1.0,0.0,1.0
lowrank_v2,8,113,False,141140.36633332196,141140.36633332196,0.9483374820297052,0.7034505326787737,0.0,1.0
static,4,11,False,271166.03672375774,271166.03672375774,0.9977994797887947,0.967339794042409,0.0,1.0
static,4,17,False,271238.0654775662,271238.0654775662,0.973519460846526,0.9522249369423034,0.0,1.0
static,4,23,False,278047.9214308198,278047.9214308198,0.9558683603549238,0.7559366483625887,0.0,1.0
static,4,31,False,274344.96359405376,274344.96359405376,0.9802664388474033,0.9266812347163722,0.0,1.0
static,4,41,True,271059.19305206684,271059.19305206684,1.0,1.0,0.0,1.0
static,4,53,False,272007.0274717971,272007.0274717971,0.9924472049231062,0.8686402267550216,0.0,1.0
static,4,67,False,271380.90058153996,271380.90058153996,0.9735804759828093,0.9284018185468953,0.0,1.0
static,4,79,False,271072.2225114629,271072.2225114629,0.9759975696392251,0.9211893559893838,0.0,1.0
static,4,97,False,271917.3373717839,271917.3373717839,0.9918501776213946,0.9718286653679403,0.0,1.0
static,4,113,False,272237.0116376347,272237.0116376347,0.9938801858385016,0.9178152333088302,0.0,1.0
static,5,11,True,222923.17613132793,222923.17613132793,1.0,1.0,0.0,1.0
static,5,17,False,223387.48482342865,223387.48482342865,0.9907992584509708,0.9442918515851135,0.0,1.0
static,5,23,False,235926.8911567268,235926.8911567268,0.954191465498272,0.8441928762562421,0.0,1.0
static,5,31,False,225906.94200877345,225906.94200877345,0.9684890560110251,0.9061624540302308,0.0,1.0
static,5,41,False,226795.7562333344,226795.7562333344,0.8831171855026639,0.6589028838983821,0.0,1.0
static,5,53,False,222970.00403326424,222970.00403326424,0.9899896779732831,0.9685809698807819,0.0,1.0
static,5,67,False,223777.6047768107,223777.6047768107,0.980152670507682,0.8689713038918964,0.0,1.0
static,5,79,False,235017.39657096216,235017.39657096216,0.9334073078619252,0.6806434810062011,0.0,1.0
static,5,97,False,223157.8313459944,223157.8313459944,0.9928821567286061,0.9604455575018174,0.0,1.0
static,5,113,False,228868.76047343464,228868.76047343464,0.9698673936114435,0.7493100552150349,0.0,1.0
static,6,11,False,184453.37235286346,184453.37235286346,0.98119400846401,0.6903840130171179,0.0,1.0
static,6,17,False,190688.22192737868,190688.22192737868,0.98409109379489,0.8676602309886192,0.0,1.0
static,6,23,False,187212.39582728728,187212.39582728728,0.972990297589185,0.8979777272715977,0.0,1.0
static,6,31,False,206560.81889806897,206560.81889806897,0.9460283954928975,0.70020244634499,0.0,1.0
static,6,41,False,187624.61154869644,187624.61154869644,0.9703624348960442,0.797550639687492,0.0,1.0
static,6,53,False,183939.28038167625,183939.28038167625,0.98453355487029,0.8609147418844771,0.0,1.0
static,6,67,False,202897.29329737328,202897.29329737328,0.9755775756254162,0.5369310046305652,0.0,1.0
static,6,79,False,187108.11678102333,187108.11678102333,0.974730645323194,0.8573824584365107,0.0,1.0
static,6,97,False,205035.3162691053,205035.3162691053,0.9210423521952152,0.5499259139126074,0.0,1.0
static,6,113,True,183610.58790549182,183610.58790549182,1.0,1.0,0.0,1.0
static,7,11,False,163803.88617253644,163803.88617253644,0.9665310782327899,0.6811066557085558,0.0,1.0
static,7,17,False,163903.52944562281,163903.52944562281,0.9140157259976865,0.6999224845450559,0.0,1.0
static,7,23,False,182731.91519783193,182731.91519783193,0.8553685980144907,0.3819421609620653,0.0,1.0
static,7,31,False,165808.67595846375,165808.67595846375,0.9570788915392647,0.7629944008387083,0.0,1.0
static,7,41,False,172970.97670692962,172970.97670692962,0.8343969943743783,0.4009002995951255,0.0,1.0
static,7,53,True,158897.94835296948,158897.94835296948,1.0,1.0,0.0,1.0
static,7,67,False,161790.98560352577,161790.98560352577,0.9133197045331267,0.7097402119509517,0.0,1.0
static,7,79,False,161180.2619372786,161180.2619372786,0.9473719582222101,0.6535578134675852,0.0,1.0
static,7,97,False,160057.99983528897,160057.99983528897,0.9619318729042908,0.7729627453050956,0.0,1.0
static,7,113,False,162888.89962120564,162888.89962120564,0.9553614681287755,0.82332723544573,0.0,1.0
static,8,11,False,136256.88077237766,136256.88077237766,0.9036155297194488,0.77282894560524,0.0,1.0
static,8,17,True,133203.48581434856,133203.48581434856,1.0,1.0,0.0,1.0
static,8,23,False,141866.48924748666,141866.48924748666,0.9587363597673753,0.7530314218478023,0.0,1.0
static,8,31,False,143524.69911117072,143524.69911117072,0.9303812425999247,0.49251799809424324,0.0,1.0
static,8,41,False,137492.95705259073,137492.95705259073,0.9511352401428053,0.7385438418833424,0.0,1.0
static,8,53,False,136510.77207935654,136510.77207935654,0.8951863484469051,0.5673552391753895,0.0,1.0
static,8,67,False,143308.9299330843,143308.9299330843,0.9154928573146094,0.5524443422929777,0.0,1.0
static,8,79,False,138829.46841763408,138829.46841763408,0.9370355176248053,0.5269505920847851,0.0,1.0
static,8,97,False,133775.10904773197,133775.10904773197,0.9287507148710916,0.6703982553476143,0.0,1.0
static,8,113,False,134531.70193346922,134531.70193346922,0.9443362256235815,0.7809125398411775,0.0,1.0
